Word	Count
lonely	2125
serve	1935
subject	1885
opening	1960
flight	3044
pair	1900
aware	1818
downstairs	1985
draw	2061
saturday	2423
wash	2077
blind	2337
cards	2449
sea	3052
states	2759
ideas	1987
lines	1960
expected	1696
cream	2484
recognize	1750
truly	1830
health	2054
church	3553
screw	1912
fantastic	2029
introduce	1771
stayed	1668
unfortunately	1652
incredible	1928
friday	2429
nope	1783
regular	1727
add	1686
mommy	3617
responsibility	1806
sometime	1699
purpose	1789
matters	1710
checking	1656
flowers	2427
master	4450
ticket	2324
opened	1726
block	2067
cars	2327
followed	1739
falling	1837
heat	2044
code	2709
prefer	1679
believed	1788
sudden	1707
guns	3092
assume	1707
teacher	2842
cheap	1848
signed	1839
frank	8129
runs	1637
stars	2353
y	4345
planned	1624
shower	2097
suspect	2254
shake	2021
weight	1850
butt	1967
forgotten	1771
showing	1587
beach	2888
gee	2362
brown	3066
nearly	1721
subtitles	1435
mood	1736
finger	1870
e	3702
meat	2226
nights	1727
ate	1722
exciting	1776
hook	1938
picking	1658
dogs	2704
pocket	1821
covered	1612
file	2246
lies	1883
ears	1705
movies	2346
terrific	2138
among	1729
asshole	3142
selling	1919
coat	2146
brothers	2400
confused	1653
pieces	1783
lift	1741
bedroom	1872
reasons	1655
buying	1679
milk	2169
scare	1712
slept	1810
speed	2104
center	2335
knife	2387
gentleman	2135
mentioned	1556
whom	1795
dig	2357
noise	1779
numbers	2020
saving	1536
shh	2810
restaurant	2373
someday	1726
fingers	1696
com	1750
yo	4177
strike	2324
ends	1563
throat	1837
aw	2079
indeed	2065
strength	1883
fancy	1777
sky	2285
weapon	2379
rush	1602
crowd	1906
enemy	2474
someplace	1611
drinks	1744
mister	2326
finds	1492
sunday	2206
depends	1457
blew	1610
computer	3011
throwing	1488
magic	2687
witness	2621
faith	2363
stomach	1725
powerful	1791
naked	2002
barely	1482
heading	1707
ended	1511
clearly	1529
drugs	2464
arrested	1781
river	2829
soft	1633
ow	2903
records	2066
pregnant	2653
jealous	1952
outta	3185
kinda	2163
remain	1694
fixed	1647
growing	1527
st	2562
obvious	1508
screaming	1945
legal	1821
pool	2396
freak	1874
cake	2298
operation	2241
understood	1639
bird	2318
singing	2281
spread	1596
prepare	1711
crack	1675
headed	1570
market	1848
shape	1542
issue	1741
queen	2789
spare	1573
waited	1485
example	1527
ruin	1455
brilliant	1826
harm	1621
liar	1792
weak	1607
doors	1755
thoughts	1703
language	1790
program	2174
chest	2090
damage	1686
stage	2324
victim	2434
chances	1472
travel	1702
genius	1773
release	1851
harder	1544
professional	1646
devil	2108
suck	1779
positive	1613
character	1946
joe	6532
moon	2548
kicked	1559
repeat	1684
george	7474
ship	5043
tickets	2211
touched	1505
romantic	1794
warning	1630
including	1405
united	2564
wherever	1500
yourselves	1479
changes	1481
laid	1527
race	3157
dealing	1440
details	1481
roof	1818
goodness	1655
safety	1649
page	1912
pulling	1384
r	3579
sugar	1926
borrow	1495
hired	1683
loss	1485
tall	1649
filled	1386
balls	2048
grew	1493
student	2195
animals	1993
u	2506
handsome	1684
mission	2400
social	1703
murdered	1967
discovered	1467
national	1946
cheese	1991
battle	2155
trade	1795
screwed	1519
band	2724
burning	1561
ls	4967
carrying	1451
lesson	1644
tongue	1589
bless	1788
eggs	1971
angel	3992
nor	1835
brave	1617
invite	1509
proof	1754
jerk	1690
mail	1879
belongs	1423
ha	6260
member	1468
sat	1459
tom	5588
survive	1537
towards	1399
expensive	1425
fake	1853
decent	1433
ear	1632
male	1731
style	1534
property	1698
toast	1707
bodies	1694
doctors	1855
drove	1472
la	3518
pleased	1455
unbelievable	1500
answers	1527
mostly	1330
nurse	2294
fan	1792
training	1792
load	1490
neighborhood	1871
particular	1423
began	1658
buried	1738
camp	2612
drug	2306
failed	1467
tiny	1643
speech	1940
smells	1391
changing	1339
video	2105
honestly	1390
michael	10115
received	1436
shock	1468
criminal	1758
destroyed	1573
recently	1328
faces	1363
n	2810
pray	1847
schedule	1518
forced	1349
doc	4122
mike	5707
deliver	1446
focus	1499
square	1620
stolen	1750
watched	1353
available	1323
concern	1332
moves	1420
parts	1501
permission	1587
rent	1762
enter	1516
streets	1611
oil	2095
appointment	1559
lips	1590
riding	1632
pig	1996
badly	1336
complicated	1385
lower	1417
manager	2038
mary	4492
tied	1364
justice	1910
tear	1377
woke	1344
exist	1477
offered	1333
points	1642
spending	1264
meal	1472
original	1440
shopping	1530
dump	1470
bridge	2331
fortune	1518
hated	1439
wise	1452
avoid	1239
fellas	1973
slip	1320
cousin	2491
grown	1275
likely	1314
burned	1448
caused	1318
raised	1312
research	1688
female	1612
process	1427
crew	2424
bell	2006
monday	1698
letters	1910
ln	3753
anytime	1248
ashamed	1396
player	1926
tip	1409
weather	1746
dick	2703
puts	1224
brains	1401
curious	1337
regret	1384
spring	1597
insurance	1955
paint	1877
society	1679
warn	1293
signal	1926
higher	1420
j	4026
passing	1325
period	1417
physical	1386
nonsense	1452
rights	1510
based	1357
client	2715
command	2225
yellow	1724
reached	1261
attitude	1330
awake	1362
science	1900
thousands	1410
film	3328
wanting	1251
amount	1262
boring	1398
base	1804
san	2543
disappeared	1469
connection	1386
glasses	1689
rise	1399
lab	2020
unit	1845
bleeding	1516
bullet	1950
post	1654
dating	1689
dozen	1231
success	1390
charges	1506
grateful	1355
medicine	1744
season	1605
switch	1434
breathing	1417
jobs	1408
stood	1315
babies	1704
energy	1678
midnight	1447
bath	1587
surely	1407
grade	1493
plays	1521
eventually	1246
license	1635
pounds	1595
traffic	1454
babe	1814
bags	1456
celebrate	1268
disgusting	1357
healthy	1262
hung	1436
detective	3117
freeze	1640
hates	1313
treated	1219
staff	1632
talks	1216
below	1430
friendly	1328
stranger	1377
telephone	1651
dies	1270
project	1907
airport	1940
knocked	1261
model	1635
wide	1214
desperate	1310
ruined	1302
aside	1212
direction	1228
vacation	1673
fought	1362
assistant	1643
gay	3013
gosh	1525
score	1552
shoulder	1336
charlie	5668
ms	2599
becomes	1231
drag	1349
trees	1565
proper	1289
jacket	1704
closing	1333
cases	1436
event	1345
weapons	2065
bob	4666
firm	1799
theory	1459
becoming	1167
cab	1826
extremely	1210
funeral	1693
nah	1433
trial	2518
setting	1099
slowly	1279
military	2103
practically	1165
appear	1192
carefully	1202
clever	1391
basically	1327
hire	1302
distance	1306
easily	1151
wasting	1135
aunt	2815
chinese	2266
freedom	1688
remembered	1146
toilet	1474
considered	1182
led	1225
pure	1271
shots	1447
david	5196
james	3358
suicide	1747
birth	1405
exact	1154
sam	6281
rooms	1326
charming	1434
knees	1320
loving	1275
monster	1982
target	1936
chase	1673
stealing	1265
younger	1257
punch	1514
rate	1271
smoking	1334
de	2161
rat	1663
fourth	1349
california	1972
fail	1254
circumstances	1170
stone	2072
wound	1353
knowledge	1302
pride	1411
official	1224
television	1729
bomb	2736
tour	1571
hitting	1200
returned	1263
kinds	1121
direct	1226
pathetic	1234
unusual	1210
attorney	2060
effect	1219
fella	1705
staring	1196
parking	1379
statement	1491
bust	1406
disappointed	1124
paul	4801
section	1394
embarrassing	1165
plate	1308
create	1289
access	1615
joy	1456
steps	1259
pissed	1300
county	1722
hill	1915
scary	1336
committed	1225
advantage	1125
reality	1543
odd	1226
quarter	1327
community	1486
loser	1381
winner	1592
sale	1295
separate	1107
van	2641
flat	1337
sexual	1693
sexy	1529
sucks	1248
sharp	1213
request	1304
sensitive	1149
edge	1199
helps	1084
cutting	1126
washington	2142
bread	1445
candy	1825
gate	1634
beating	1160
button	1441
reports	1296
bloody	1962
facts	1393
alarm	1522
cooking	1307
joint	1405
paris	3531
suffer	1148
intend	1183
nasty	1151
hundreds	1108
investigation	1491
understanding	1117
guts	1211
leader	1589
mistakes	1116
stopping	1066
shoe	1550
crash	1461
twenty	1378
members	1224
gorgeous	1227
manage	1095
walls	1261
chocolate	1499
claim	1295
closet	1381
lieutenant	5306
lover	1358
moments	1101
mountain	1805
rude	1125
guests	1311
lousy	1210
silence	1294
spell	1869
cleaning	1157
talent	1332
row	1343
stops	1112
attractive	1256
grave	1340
parties	1182
silver	1619
thrown	1047
guarantee	1123
toward	1169
busted	1168
g	2169
stands	1093
directly	1084
highly	1081
awesome	1600
counting	1095
dollar	1410
divorce	1669
falls	1301
miracle	1359
mirror	1233
path	1252
scream	1347
fate	1375
fucked	2291
rare	1087
wore	1081
signs	1123
sweat	1115
